query,candidate,score
Anthropology_N7BS08I4,Anthropology_6P6EGA7N,0.65036094
Anthropology_N7BS08I4,Anthropology_6RJ3GHQ5,0.9339335
Anthropology_N7BS08I4,Anthropology_7FHJZZGK,0.6346374
Anthropology_N7BS08I4,Anthropology_8AGN64XL,0.54155165
Anthropology_N7BS08I4,Anthropology_923TITKQ,0.6337817
Anthropology_N7BS08I4,Anthropology_BC1HY2UY,0.82467526
Anthropology_N7BS08I4,Anthropology_CIXWBVYG,0.5776197
Anthropology_N7BS08I4,Anthropology_DJWS3KK8,0.8093285
Anthropology_N7BS08I4,Anthropology_FGVRE741,0.43981454
Anthropology_N7BS08I4,Anthropology_HIB4WTXI,0.6468681
Anthropology_N7BS08I4,Anthropology_HO15RRZW,0.54215604
Anthropology_N7BS08I4,Anthropology_HOIJOTIN,0.9777632
Anthropology_N7BS08I4,Anthropology_LYUJTGE7,0.5509288
Anthropology_N7BS08I4,Anthropology_O90S1ME4,0.60732216
Anthropology_N7BS08I4,Anthropology_PH6H77Q5,0.49629152
Anthropology_N7BS08I4,Anthropology_T6T18UM0,0.7821628
Anthropology_N7BS08I4,Anthropology_THBZ5J3U,0.55416775
Anthropology_N7BS08I4,Anthropology_VS4SJ2VH,0.65988815
Anthropology_N7BS08I4,Anthropology_W02BSMEB,0.95990264
Anthropology_N7BS08I4,Anthropology_WDPPPTFE,0.7213816
Archeology_8F1CBFNO,Archeology_103DGDZV,0.6422944
Archeology_8F1CBFNO,Archeology_2I1LR3PE,0.50340545
Archeology_8F1CBFNO,Archeology_5JMSND8D,0.6571648
Archeology_8F1CBFNO,Archeology_6B9M80O2,0.9352708
Archeology_8F1CBFNO,Archeology_8I4P40MG,0.74123657
Archeology_8F1CBFNO,Archeology_AQ6L6GT6,0.5838679
Archeology_8F1CBFNO,Archeology_B9OOAEDO,0.64129823
Archeology_8F1CBFNO,Archeology_D6FLEEPZ,0.5951384
Archeology_8F1CBFNO,Archeology_FF5E8II4,0.6837615
Archeology_8F1CBFNO,Archeology_GD8AFPK0,0.67656255
Archeology_8F1CBFNO,Archeology_K1VRJNVG,0.6076951
Archeology_8F1CBFNO,Archeology_K87AU5BH,0.6404311
Archeology_8F1CBFNO,Archeology_KYAYQ3S1,0.7317034
Archeology_8F1CBFNO,Archeology_MTZX272H,0.6344932
Archeology_8F1CBFNO,Archeology_PCF07UQN,0.63192797
Archeology_8F1CBFNO,Archeology_Q9AH8RVH,0.4258345
Archeology_8F1CBFNO,Archeology_UDOCUZRE,0.62587976
Archeology_8F1CBFNO,Archeology_UN5Z3JQI,0.52278596
Archeology_8F1CBFNO,Archeology_XWNREK8P,0.7203531
Archeology_8F1CBFNO,Archeology_ZXOI65FD,0.62461245
Architecture_EPZHPCF0,Architecture_0YLTZ9AT,0.95605576
Architecture_EPZHPCF0,Architecture_22N64KFS,0.60549283
Architecture_EPZHPCF0,Architecture_3I379U26,0.63010156
Architecture_EPZHPCF0,Architecture_3UEA3GE8,0.7237105
Architecture_EPZHPCF0,Architecture_7UQNUPQZ,0.6865674
Architecture_EPZHPCF0,Architecture_A9TGIQHG,0.5407495
Architecture_EPZHPCF0,Architecture_CAVIQK29,0.76899135
Architecture_EPZHPCF0,Architecture_CWNPGW90,0.7468878
Architecture_EPZHPCF0,Architecture_E30MY5ZP,0.6373196
Architecture_EPZHPCF0,Architecture_EJ8CX9J1,0.856756
Architecture_EPZHPCF0,Architecture_EPXSK28T,0.75990677
Architecture_EPZHPCF0,Architecture_ERW6Z8VB,0.48025715
Architecture_EPZHPCF0,Architecture_FPTOMJBC,0.7867915
Architecture_EPZHPCF0,Architecture_G1OL73D9,0.85034144
Architecture_EPZHPCF0,Architecture_KL0BLV0P,0.50621104
Architecture_EPZHPCF0,Architecture_LQCG1WU1,0.5244944
Architecture_EPZHPCF0,Architecture_MQC1A78M,0.79472166
Architecture_EPZHPCF0,Architecture_NVNQ65QD,0.90428954
Architecture_EPZHPCF0,Architecture_OM3WTOOB,0.74276435
Architecture_EPZHPCF0,Architecture_UHT6T0UZ,0.7288252
Art-History_YZMEPGTH,Art-History_1TDGNNQF,0.9374958
Art-History_YZMEPGTH,Art-History_4HEZ5EDJ,0.94394207
